Startup	Website	Tech	Domain
FleetWorks	https://fleetworks.ai	Agent	电商
Flint	http://flintk12.com/	Multimodal LLM	教育
FlowiseAI	https://flowiseai.com	Agent	软件研发
Fluently	https://getfluently.app/	Multimodal LLM	教育
Focal	https://focalml.com	Multimodal LLM	内容创作
Foundation	https://buildwithfoundation.com/	Agent	建筑地产
Fragment	https://checkfragment.com	Agent	金融
Fume	https://fumedev.com	Agent	软件研发
Fynt AI	https://www.fynt.ai/	Agent	金融
Giga ML	https://gigaml.com/	Agent	AI基础设施
Glade	https://www.gladetool.com	Multimodal LLM	to C 娱乐
Glimmer	https://www.withglimmer.com/	RAG	泛工具
GovernGPT	https://www.governgpt.ai/	Agent	金融
Greenlite	https://www.greenlite.ai/	Agent	金融
Greptile	https://www.greptile.com	Agent	软件研发
Guide Labs	https://www.guidelabs.ai/	Infra	AI基础设施
Happenstance	https://happenstance.ai	Agent	泛工具
Hazel	https://hazeltech.ai/	RAG	政务
Health Harbor	https://healthharbor.co/	Multimodal LLM	医药
Hemingway	https://hemingwayai.co	Agent	医药
HeyPurple	https://www.heypurple.ai/	Agent	建筑地产
Hona	https://www.hona.ai	Agent	医药
HostAI	https://www.hostai.app/	Agent	旅游
Inari	https://useinari.com	Agent	软件研发
Infinity AI	https://infinity.ai	Multimodal LLM	内容创作
Infobot	https://infobot.ai/	Agent	内容创作
Inlet	https://getinlet.ai	Agent	软件研发
innkeeper	https://innkeeper.ai	Agent	旅游
InspectMind AI	https://www.inspectmind.ai	Agent	建筑地产
Inventive AI	https://getinventive.ai/	Agent	CRM
ion design	https://www.ion.design/	Agent	软件研发
Junction Bioscience	https://www.junction.bio/	Agent	医药
just words	https://justwords.ai	Agent	泛工具
K-Scale Labs	https://kscale.dev/	机器人	机器人
Kabilah	https://www.kabilah.com	Agent	医药
kater.ai	https://www.kater.ai	Agent	数据处理分析
Keywords AI	https://keywordsai.co	Infra	AI基础设施
Khoj	https://khoj.dev/	Agent	泛工具
Kino AI	https://trykino.com	Multimodal LLM	内容创作
Kiosk	https://www.kiosk.so	Agent	CRM
Kite	https://kite.video	Multimodal LLM	内容创作
Kobalt Labs	https://www.kobaltlabs.com/	Agent	金融
Lantern	http://lantern.dev	Agent	AI基础设施
Latentspace	https://menza.ai/	Agent	数据处理分析
Lavalamp	https://www.lavalamp.ai	Multimodal LLM	to C 工具
Leaping	https://www.leaping.io/	Agent	软件研发
第一集分割线			
Leya	https://www.leya.law/	Agent	法律
Linc	https://www.linc-ai.com/	Agent	物流
Lucite	https://www.lucite.ai/	Agent	金融
Lumina	https://lumina-chat.com	Agent	科研
Lumona	https://www.lumona.ai	Agent	电商
Magic Hour	https://magichour.ai	Multimodal LLM	内容创作
Maia	https://www.ourmaia.com/	Agent	医药
MAIHEM	https://www.maihem.ai/	Agent	AI基础设施
Manifold Freight	https://www.manifoldfreight.com/	Agent	物流
Marblism	https://marblism.com	Agent	软件研发
Markprompt	https://markprompt.com	Agent	CRM
Marr Labs	https://www.marrlabs.com/	Agent	CRM
Martin	https://www.trymartin.com/	Agent	泛工具
MathGPTPro	https://info.mathgptpro.com/	Agent	教育
MediSearch	https://medisearch.io	Agent	医药
Metalware	https://www.metalware.io/	Agent	软件研发
Meticulate	https://meticulate.ai/	Agent	金融
Metoro	https://metoro.io	Agent	IT运维
Million	https://million.dev	Agent	软件研发
Model ML	https://www.modelml.com/	Multimodal LLM	金融
Momentic	https://momentic.ai	Agent	软件研发
Navier AI	http://navier.ai	Agent	工业制造
nCompass Technologies	https://ncompass.tech	Infra	AI基础设施
Nowadays	http://getnowadays.com/	Agent	泛工具
NowHouse	https://www.nowhouse.io	Agent	金融
Nuanced, Inc.	https://www.nuanced.dev/	Multimodal LLM	安全
Octolane AI	https://www.octolane.com	Agent	CRM
Ocular AI	https://useocular.com	RAG	泛工具
OffDeal	https://offdeal.io	Agent	金融
Olio Labs	https://oliolabs.co/	Agent	医药
OmniAI	https://getomni.ai	Agent	AI基础设施
OneGrep	https://www.onegrep.dev	Agent	软件研发
Opencall.ai	https://opencall.ai	Agent	CRM
OpenCopilot	https://opencopilot.so	Agent	Agent开发
OpenFoundry	https://www.openfoundry.ai/	Agent	软件研发
Openmart	https://www.openmart.ai	Agent	CRM
OpenPipe	https://openpipe.ai/	Agent	软件研发
Orbio Earth	https://www.orbio.earth/	Multimodal LLM	金融
Outset	https://outset.ai/	Agent	科研
Paradigm	https://www.tryparadigm.ai/	Agent	Agent开发
Parasale	https://parasale.io	Agent	HR
Patchwork	https://atpatchwork.com/	Agent	泛工具
Phospho	https://phospho.ai	Infra	AI基础设施
Pico	http://withpico.com	Multimodal LLM	to C 工具
Pincites	https://www.pincites.com/	Agent	金融
Piramidal	https://piramidal.ai	Agent	医药
Pivot Robots	https://pivotrobots.com	Agent	机器人
PocketPod	https://pocketpod.app	Agent	to C 娱乐
Pointhound	http://www.pointhound.com	Agent	金融
PointOne	https://pointone.ai/	Agent	法律
Poozle	https://www.usemira.ai	Agent	软件研发
Powder	https://www.powderfi.com/	Agent	金融
Preloop	https://www.preloop.com	Infra	AI基础设施
Pretzel AI	https://withpretzel.com	Agent	软件研发
ProdTrace	https://www.prodtrace.com/	Agent	工业制造
PromptArmor	https://promptarmor.com/	Agent	安全
ProSights	https://prosights.co/	Agent	金融
Pythagora (GPT Pilot)	https://pythagora.ai/	Agent	软件研发
Quantic	https://www.quantichq.com	Agent	CRM
Quary	https://www.quary.dev	Infra	AI基础设施
Quill AI	https://quillai.com	Agent	金融
Quivr	https://www.quivr.com/		
RadMate AI	https://www.radmate.ai	Agent	医药
Ragas	https://www.ragas.io	Infra	AI基础设施
Raz	https://www.tryraz.com	Agent	CRM
Reducto	https://reducto.ai	Agent	数据处理分析
Reform	https://www.reformhq.com	Agent	物流
Remy Security	https://www.remysec.com/	Agent	安全
Reprompt	https://repromptai.com	Agent	软件研发
Respaid	https://www.respaid.com	Agent	金融
RetailReady	https://www.retailreadyai.com/	Agent	电商
Retell AI	https://retellai.com	Agent	AI基础设施
Revamp	https://www.getrevamp.ai	Agent	电商
Reworkd AI	https://reworkd.ai	Agent	Agent开发
Risotto	https://www.tryrisotto.com	Agent	IT运维
Roame	https://roame.travel/	Agent	金融
Roundtable	https://roundtable.ai	Agent	数据处理分析
SciPhi	https://www.sciphi.ai	Agent	AI基础设施
Scritch	https://www.joinscritch.com	Agent	医药
Senso	http://www.senso.ai	Agent	CRM
Sero AI	https://getsero.ai	Agent	安全
Serra	https://www.serra.io/	Agent	数据处理分析
SevnAI	http://sevn.ai	Multimodal LLM	内容创作
Shadeform	https://www.shadeform.ai/	Agent	软件研发
Shasta Health	https://www.shasta.health	Agent	医药
Shepherd	https://www.shepherd.study	Agent	教育
SID	https://www.sid.ai	Agent	数据处理分析
Sidenote	https://www.sidenote.ai	Agent	to C 工具
sizeless	https://www.sizeless.co	Agent	AI基础设施
Skyvern	https://www.skyvern.com/	Agent	软件研发
Slicker	https://www.slickerhq.com	Agent	金融
Sohar Health	https://www.soharhealth.com	Agent	医药
Sola	https://www.sola-solutions.com/	Agent	AI基础设施
Somn	https://somnapp.com	Agent	医药
Sonauto	https://sonauto.ai/	Multimodal LLM	to C 娱乐
Sonia	https://soniahealth.com	Agent	医药
Soundry AI	https://soundry.ai/	Multimodal LLM	to C 娱乐
Spark	https://www.sparkhq.ai	Agent	能源
Speck	https://speck.bot	Agent	Agent开发
Spine AI	https://www.getspine.ai	Agent	软件研发
Structured	https://www.structuredlabs.io/	Agent	软件研发
Studdy	https://www.studdy.ai/	Agent	教育
sudocode	https://sudocode.ai/	Agent	软件研发
Superagent	https://superagent.sh/	Agent	Agent开发
Sweetspot	https://www.sweetspot.so/	Agent	政务
Synaptiq	https://synaptiq.co/	Agent	医药
sync labs	https://synclabs.so/	Multimodal LLM	AI基础设施
Taiki	https://www.taiki.ai	Agent	金融
Talc	https://talc.ai	Infra	AI基础设施
Taylor AI	https://trytaylor.ai	Infra	AI基础设施
Tempo Labs	https://www.tempolabs.ai/	Agent	软件研发
ten.dev	https://ten.dev	Multimodal LLM	软件研发
Tensorfuse	https://www.tensorfuse.io/	Infra	AI基础设施
Toma	https://www.toma.so/	Agent	CRM
Topo	https://www.topo.io/	Agent	CRM
Tracecat	https://tracecat.com	Agent	安全
Trellis	https://usetrellis.co	Agent	数据处理分析
trendup	https://trendup.ai/	Multimodal LLM	电商
Trieve	https://trieve.ai	RAG	泛工具
truemetrics	https://www.truemetrics.io/	Agent	电商
Tusk	https://usetusk.ai	Agent	软件研发
Unhaze	https://unhaze.ai	Agent	CRM
Upsolve AI	https://upsolve.ai/	Agent	软件研发
Vango AI	https://vango.ai/	Infra	AI基础设施
VectorShift	https://www.vectorshift.ai	Agent	AI基础设施
Vectorview	https://vectorview.ai	Agent	AI基础设施
Veles	http://www.getveles.com	Agent	CRM
venta	https://www.getventa.ai	Agent	CRM
Vizly	https://vizly.fyi	Agent	数据处理分析
Watto AI	https://www.watto.ai	Agent	软件研发
Wuri	https://www.wuri.ai/	Multimodal LLM	内容创作
Yarn	https://www.yarn.so	Multimodal LLM	内容创作
Yondu	https://www.yonduai.com/	Agent	机器人
